epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,3286.35,0.94768,0.72391,1.21327,0.83396,0.76086,0.84021,0.61418,0.95957,0.68163,1.22436,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,3324.01,0.94571,0.71513,1.20922,0.84982,0.76474,0.84244,0.61434,0.95512,0.6699,1.22449,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,3361.41,0.94324,0.71451,1.20169,0.83914,0.76723,0.84679,0.61658,0.96133,0.67173,1.22944,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,3398.87,0.94199,0.70538,1.20177,0.84488,0.75373,0.84378,0.6141,0.96247,0.67405,1.2254,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,3435.61,0.93663,0.70157,1.20272,0.8409,0.77277,0.84578,0.62107,0.94605,0.67712,1.21476,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,3472.08,0.94031,0.72027,1.20487,0.84843,0.7638,0.84773,0.62124,0.94739,0.66677,1.21733,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,3508.22,0.91783,0.68907,1.19305,0.84826,0.7659,0.84904,0.62447,0.94014,0.65801,1.20623,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,3544.42,0.93117,0.69585,1.18738,0.85339,0.76335,0.84627,0.62336,0.93292,0.65942,1.20171,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,3580.97,0.92084,0.69206,1.18933,0.83816,0.77118,0.84841,0.62428,0.93277,0.66121,1.2023,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,3617.51,0.9261,0.69752,1.19232,0.83023,0.76668,0.84847,0.62795,0.92607,0.65832,1.19772,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
