epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,654.779,0.91158,1.09375,1.25594,0.69094,0.67414,0.71145,0.60034,0.54688,0.67748,1.03767,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,828.421,0.91608,1.10415,1.26091,0.69757,0.67356,0.71121,0.60008,0.5461,0.67689,1.03689,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,1068.9,0.92273,1.10764,1.26288,0.69503,0.67157,0.71152,0.60151,0.54341,0.67616,1.03506,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,1279.7,0.91386,1.09158,1.25573,0.69646,0.67327,0.71104,0.60231,0.54257,0.67619,1.03431,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,1486.94,0.9174,1.09694,1.25943,0.70202,0.66475,0.71131,0.60263,0.54194,0.67593,1.03332,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,1674.55,0.91369,1.09208,1.25762,0.69403,0.67193,0.71222,0.60245,0.54106,0.6743,1.03278,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,1863.7,0.91359,1.09505,1.25508,0.69694,0.66894,0.71251,0.60217,0.5411,0.67475,1.03316,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,2053.09,0.91288,1.09589,1.25461,0.69887,0.6669,0.71312,0.60284,0.54075,0.67423,1.033,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,2238.82,0.91467,1.08667,1.2519,0.70108,0.66385,0.7132,0.60226,0.54059,0.67408,1.03244,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,2426.32,0.9117,1.08856,1.25135,0.70181,0.65909,0.71258,0.60204,0.5399,0.67362,1.03179,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,2608.7,0.90918,1.08144,1.24818,0.69358,0.66629,0.71263,0.60341,0.54008,0.67301,1.03182,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,2781.51,0.91088,1.088,1.24829,0.69431,0.67004,0.71278,0.60368,0.53993,0.67198,1.0315,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,2976.31,0.91219,1.08728,1.24938,0.69698,0.66683,0.71356,0.60363,0.53938,0.67265,1.03078,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,3271.94,0.90635,1.07959,1.24565,0.69365,0.67313,0.71292,0.60312,0.53899,0.6733,1.03005,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,3550.98,0.90831,1.07758,1.24685,0.69661,0.66856,0.71324,0.6033,0.53832,0.67376,1.02903,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,3833.11,0.90885,1.07399,1.24518,0.69446,0.6733,0.71301,0.60369,0.53869,0.67272,1.02902,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,4120.8,0.90422,1.07408,1.24516,0.6952,0.67577,0.71315,0.60361,0.53828,0.67221,1.02877,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,4422.18,0.90939,1.07867,1.24625,0.69547,0.67602,0.71298,0.60356,0.53759,0.67058,1.0282,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,4720.34,0.90533,1.06687,1.23876,0.70033,0.6774,0.71364,0.60376,0.53754,0.66927,1.02808,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,4997.36,0.90578,1.06816,1.24081,0.70009,0.67433,0.71327,0.60408,0.53786,0.6682,1.02881,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,5230,0.90217,1.06888,1.2409,0.68938,0.68082,0.71342,0.60353,0.53793,0.66843,1.02913,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
